First Letter;Number Languages;Writing Hand;Shoe Size;Height;Blood Type;Resus Factor;Siblings;Internet Purchase;Mobile Devices;Leisure;Hours Math;Importance AI Study;Antwerp Address;Travel Distance;Travel Time;Driver License;Smoker;Fruit;Favorite Fruit;OS;App;Biden;Class Mascot;Study Load
A;1;Right;41;172;Unknown;Unknown;2;No;3;Gaming;?;Little importance;No;45;90;No;No;1 or less;1=Strawberry,2=Kiwi,3=Plum,4=Melon,5=Orange,6=Banana,7=Cherry,8=Apple,9=Pineapple,10=Apple;Windows;GPS App;4;1=Cougar,2=Wolf,3=Panther,4=Brown Bear,5=Badger,6=Raccoon,7=Fox,8=Bison,9=Beaver,10=Otter;<= 10 hours
F;2;Right;39;159;O;Unknown;1;Yes;3;Shopping;4;Moderate importance;Yes;7.8;35;Yes;No;3;1=Cherry,2=Banana,3=Orange,4=Apple,5=Strawberry,6=Melon,7=Plum,8=Pear,9=Pineapple,10=Kiwi;Windows;GPS App;4;1=Raccoon,2=Otter,3=Bison,4=Badger,5=Beaver,6=Brown Bear,7=Wolf,8=Fox,9=Cougar,10=Panther;<= 10 hours
  A;3;Right;44;180;B;+;2;Yes;2;Music (play/listen);5;Extreemly important;Yes;2.7;33;No;No;2;1=Banana,2=Apple,3=Orange,4=Cherry,5=Melon,6=Pineapple,7=Strawberry,8=Pear,9=Kiwi,10=Plum;Windows;Health/Fitness App;4;1=Panther,2=Wolf,3=Fox,4=Brown Bear,5=Raccoon,6=Cougar,7=Otter,8=Beaver,9=Bison,10=Badger;21-25 hours
J;5;Right;39;162;O;+;2;Yes;2;Watching movie/TV series;3;Moderate importance;Yes;4;16;No;Yes;1 or less;1=Banana,2=Melon,3=Cherry,4=Apple,5=Pear,6=Orange,7=Kiwi,8=Strawberry,9=Plum,10=Pineapple;Windows;GPS App;2;1=Beaver,2=Otter,3=Fox,4=Raccoon,5=Badger,6=Panther,7=Wolf,8=Brown Bear,9=Cougar,10=Bison;11-15 hours
N;3;Right;36;159;A;+;1;Yes;3;Internet/Social Media;0;Moderate importance;Yes;1.5;42;No;No;2;1=Cherry,2=Pineapple,3=Kiwi,4=Strawberry,5=Melon,6=Banana,7=Melon,8=Plum,9=Pear,10=Apple;iOS;Browser App;3;1=Fox,2=Raccoon,3=Otter,4=Wolf,5=Panther,6=Brown Bear,7=Cougar,8=Beaver,9=Bison,10=Badger;11-15 hours
A;3;Right;39;170;O;-;1;No;2;Youth movement;many;Little importance;Yes;2;20;Yes;No;1 or less;1=Strawberry,2=Melon,3=Apple,4=Pineapple,5=Banana,6=Orange,7=Kiwi,8=Cherry,9=Pear,10=Plum;Windows;Social Netwerk App;4;1=Raccoon,2=Panther,3=Cougar,4=Fox,5=Wolf,6=Brown Bear,7=Beaver,8=Bison,9=Otter,10=Badger;26-30 hours
D;2;Right;43;185;Unknown;Unknown;1;Yes;2;Gaming;6;Great importance;Yes;0.7;8;No;No;1 or less;1=Banana,2=Apple,3=Melon,4=Pineapple,5=Strawberry,6=Orange,7=Pear,8=Kiwi,9=Cherry,10=Plum;Windows;Browser App;4;1=Wolf,2=Fox,3=Panther,4=Cougar,5=Raccoon,6=Badger,7=Brown Bear,8=Beaver,9=Otter,10=Bison;26-30 hours
F;4;Right;38;157;B;+;2;No;2;Internet/Social Media;50;Moderate importance;Yes;3;15;Yes;No;1 or less;1=Cherry,2=Strawberry,3=Kiwi,4=Orange,5=Pineapple,6=Banana,7=Pear,8=Plum,9=Melon,10=Apple;Windows;Social Netwerk App;4;1=Beaver,2=Brown Bear,3=Fox,4=Wolf,5=Badger,6=Bison,7=Raccoon,8=Panther,9=Cougar,10=Otter;21-25 hours
D;4;Left;38;162;O;+;0;Yes;2;Music (play/listen);6;Extreemly important;Yes;0.5;7;No;No;1 or less;1=Strawberry,2=Apple,3=Banana,4=Pineapple,5=Melon,6=Cherry,7=Orange,8=Kiwi,9=Pear,10=Plum;Windows;GPS App;4;1=Badger,2=Beaver,3=Raccoon,4=Brown Bear,5=Wolf,6=Bison,7=Fox,8=Panther,9=Cougar,10=Otter;26-30 hours
K;2;Right;50;160;Unknown;Unknown;4;No;1;Other;a lot;Extreemly important;Yes;0;1;Yes;No;7 or more;1=Kiwi,2=Pineapple,3=Cherry,4=Apple,5=Plum,6=Orange,7=Melon,8=Banana,9=Strawberry,10=Pear;iOS;Other App;0;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Beaver,8=Badger,9=Bison,10=Otter;31-35 hours
i;2;Right;49;174;O;Unknown;0;Yes;3;Gaming;16;Great importance;Yes;3;20;No;No;1 or less;1=Banana,2=Apple,3=Orange,4=Pineapple,5=Strawberry,6=Plum,7=Melon,8=Cherry,9=Pear,10=Kiwi;Windows;Browser App;3;1=Fox,2=Badger,3=Otter,4=Cougar,5=Wolf,6=Beaver,7=Raccoon,8=Bison,9=Brown Bear,10=Panther;16-20 hours
L;3;Right;44;180;Unknown;Unknown;1;Yes;3;Sport (practicing/supporting);too much 8-10 per week;Very great importance;Yes;2.5;30;No;No;5;1=Banana,2=Orange,3=Apple,4=Pineapple,5=Strawberry,6=Kiwi,7=Melon,8=Pear,9=Cherry,10=Plum;iOS;Browser App;4;1=Wolf,2=Panther,3=Otter,4=Fox,5=Brown Bear,6=Cougar,7=Beaver,8=Badger,9=Raccoon,10=Bison;26-30 hours
C;2;Right;39;164;O;Unknown;1;Yes;3;Music (play/listen);5.5;Moderate importance;Yes;0.45;7;No;No;2;1=Orange,2=Banana,3=Pineapple,4=Apple,5=Strawberry,6=Kiwi,7=Melon,8=Pear,9=Cherry,10=Plum;Windows;GPS App;4;1=Brown Bear,2=Fox,3=Panther,4=Wolf,5=Otter,6=Raccoon,7=Badger,8=Beaver,9=Bison,10=Cougar;21-25 hours
y;3;Right;43;181;O;Unknown;2;Yes;2;Music (play/listen);6;Extreemly important;Yes;2.2;15;Yes;No;1 or less;1=Apple,2=Banana,3=Melon,4=Orange,5=Pineapple,6=Cherry,7=Pear,8=Plum,9=Kiwi,10=Strawberry;Windows;Browser App;4;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;16-20 hours
C;2;Right;38;165;Unknown;Unknown;3;No;2;Youth movement;144hours;Very great importance;No;55;90;Yes;No;1 or less;1=Apple,2=Pineapple,3=Plum,4=Orange,5=Pear,6=Banana,7=Cherry,8=Strawberry,9=Melon,10=Kiwi;Windows;Other App;8;1=Brown Bear,2=Panther,3=Fox,4=Cougar,5=Beaver,6=Otter,7=Badger,8=Bison,9=Raccoon,10=Wolf;31-35 hours
M;4;Right;39;170;O;+;1;No;2;Dancing;5;Very great importance;No;40;60;No;No;1 or less;1=Pineapple,2=Banana,3=Kiwi,4=Melon,5=Apple,6=Cherry,7=Plum,8=Strawberry,9=Pear,10=Orange;Windows;Browser App;3;1=Panther,2=Wolf,3=Brown Bear,4=Otter,5=Beaver,6=Cougar,7=Fox,8=Badger,9=Bison,10=Raccoon;21-25 hours
I;3;Right;42;178;O;Unknown;1;No;2;Gaming;5;Great importance;No;41;93;No;No;1 or less;1=Melon,2=Apple,3=Pear,4=Banana,5=Cherry,6=Strawberry,7=Orange,8=Pineapple,9=Plum,10=Kiwi;Windows;Public Transport App;4;1=Beaver,2=Raccoon,3=Fox,4=Brown Bear,5=Bison,6=Otter,7=Wolf,8=Panther,9=Cougar,10=Badger;16-20 hours
C;2;Right;42;173;O;+;3;Yes;3;Internet/Social Media;.;Extreemly important;Yes;1.3;15;Yes;No;1 or less;1=Strawberry,2=Pineapple,3=Apple,4=Banana,5=Cherry,6=Kiwi,7=Melon,8=Pear,9=Plum,10=Orange;Windows;Social Netwerk App;4;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;21-25 hours
c;3;Right;41;170;Unknown;Unknown;3;No;2;Sport (practicing/supporting);A lot;Great importance;Yes;5.7;29;No;No;2;1=Apple,2=Pineapple,3=Melon,4=Orange,5=Pear,6=Cherry,7=Banana,8=Kiwi,9=Strawberry,10=Plum;Windows;Game App;3;1=Panther,2=Fox,3=Brown Bear,4=Raccoon,5=Bison,6=Otter,7=Badger,8=Cougar,9=Beaver,10=Wolf;<= 10 hours
H;4;Right;40;153;O;+;5;No;2;Watching movie/TV series;3;Extreemly important;No;55;53;No;No;2;1=Banana,2=Orange,3=Pear,4=Melon,5=Pineapple,6=Cherry,7=Kiwi,8=Plum,9=Apple,10=Strawberry;Windows;Other App;4;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;<= 10 hours
B;2;Right;41;175;O;+;2;Yes;3;Dancing;10;Moderate importance;Yes;1.1;10;Yes;Yes;2;1=Orange,2=Pineapple,3=Cherry,4=Melon,5=Plum,6=Banana,7=Kiwi,8=Pear,9=Strawberry,10=Apple;Windows;Social Netwerk App;2;1=Brown Bear,2=Raccoon,3=Otter,4=Fox,5=Beaver,6=Badger,7=Bison,8=Fox,9=Panther,10=Wolf;21-25 hours
A;4;Right;40;180;A;+;2;No;4;Other;100;Extreemly important;No;2;150;No;Yes;1 or less;1=Strawberry,2=Apple,3=Banana,4=Orange,5=Pineapple,6=Kiwi,7=Pear,8=Cherry,9=Plum,10=Melon;iOS;Banking Operations App;4;1=Panther,2=Cougar,3=Wolf,4=Brown Bear,5=Fox,6=Bison,7=Badger,8=Beaver,9=Raccoon,10=Otter;21-25 hours
Y;3;Right;44;191;Unknown;Unknown;1;Yes;2;Watching movie/TV series;5;Moderate importance;No;4;35;No;Yes;5;1=Apple,2=Plum,3=Melon,4=Cherry,5=Kiwi,6=Pear,7=Orange,8=Strawberry,9=Pineapple,10=Banana;Windows;Browser App;0;1=Raccoon,2=Fox,3=Cougar,4=Wolf,5=Brown Bear,6=Bison,7=Otter,8=Beaver,9=Badger,10=Panther;26-30 hours
